Thermal calculator data file
Last updated date: 2016-08-11, 23:02:28

Thermal model: Gringarten equation
Base data
Parameter	Value	Unit	
Specific heat of rock	800	J/kg¡ÆC	
Specific heat of fluid	4178	J/kg¡ÆC	
Rock density	2628	kg/m^3	
Thermal conductivity of rock, k	3.018	W/m¡ÆC	
Initial rock temperature	180	¡ÆC	
Injection fluid temperature	60	¡ÆC	

Variables
Variable	Value	Unit	
Width of fracture	600	m	
Mass flow rate	40	kg/s	
Number of fractures	5		
Fracture spacing	60	m	
Distance from injection	800	m	
Time	30	years	

Calculation results
Outlet fluid temperature	161.67	¡ÆC	
Rock temperature distribution
Z	X	Temperature	
m	m	¡ÆC	
720.00	0.60	154.83	
728.00	0.60	155.64	
736.00	0.60	156.43	
744.00	0.60	157.21	
752.00	0.60	157.97	
760.00	0.60	158.70	
768.00	0.60	159.42	
776.00	0.60	160.12	
784.00	0.60	160.81	
792.00	0.60	161.47	
800.00	0.60	162.12	
0.00	0.90	60.17	
8.00	0.90	60.39	
16.00	0.90	60.64	
24.00	0.90	60.92	
32.00	0.90	61.24	
40.00	0.90	61.59	
48.00	0.90	61.98	
56.00	0.90	62.41	
64.00	0.90	62.87	
72.00	0.90	63.37	
80.00	0.90	63.90	
88.00	0.90	64.48	
96.00	0.90	65.09	
104.00	0.90	65.73	
112.00	0.90	66.42	
120.00	0.90	67.14	
128.00	0.90	67.89	
136.00	0.90	68.68	
144.00	0.90	69.51	
152.00	0.90	70.37	
160.00	0.90	71.26	
168.00	0.90	72.19	
176.00	0.90	73.14	
184.00	0.90	74.13	
192.00	0.90	75.15	
200.00	0.90	76.20	
208.00	0.90	77.28	
216.00	0.90	78.38	
224.00	0.90	79.51	
232.00	0.90	80.67	
240.00	0.90	81.85	
248.00	0.90	83.05	
256.00	0.90	84.27	
264.00	0.90	85.52	
272.00	0.90	86.78	
280.00	0.90	88.06	
288.00	0.90	89.35	
296.00	0.90	90.67	
304.00	0.90	91.99	
312.00	0.90	93.33	
320.00	0.90	94.68	
328.00	0.90	96.04	
336.00	0.90	97.41	
344.00	0.90	98.79	
352.00	0.90	100.17	
360.00	0.90	101.56	
368.00	0.90	102.95	
376.00	0.90	104.35	
384.00	0.90	105.75	
392.00	0.90	107.14	
400.00	0.90	108.54	
408.00	0.90	109.94	
416.00	0.90	111.33	
424.00	0.90	112.72	
432.00	0.90	114.11	
440.00	0.90	115.48	
448.00	0.90	116.86	
456.00	0.90	118.22	
464.00	0.90	119.58	
472.00	0.90	120.93	
480.00	0.90	122.26	
488.00	0.90	123.59	
496.00	0.90	124.91	
504.00	0.90	126.21	
512.00	0.90	127.50	
520.00	0.90	128.78	
528.00	0.90	130.04	
536.00	0.90	131.29	
544.00	0.90	132.52	
552.00	0.90	133.73	
560.00	0.90	134.93	
568.00	0.90	136.12	
576.00	0.90	137.29	
584.00	0.90	138.43	
592.00	0.90	139.57	
600.00	0.90	140.68	
608.00	0.90	141.78	
616.00	0.90	142.85	
624.00	0.90	143.91	
632.00	0.90	144.95	
640.00	0.90	145.97	
648.00	0.90	146.97	
656.00	0.90	147.95	
664.00	0.90	148.91	
672.00	0.90	149.86	
680.00	0.90	150.78	
688.00	0.90	151.68	
696.00	0.90	152.57	
704.00	0.90	153.43	
712.00	0.90	154.28	
720.00	0.90	155.11	
728.00	0.90	155.91	
736.00	0.90	156.70	
744.00	0.90	157.47	
752.00	0.90	158.22	
